"";"GeoIso";"Citizen";"Decision";"Count";"latitude";"longitude";"name"
"186";"FI";"SY";"TOTAL";325;61,92411;25,748151;"Finland"
"187";"SE";"SY";"TOTAL";21330;60,128161;18,643501;"Sweden"
"188";"UK";"SY";"TOTAL";320;55,378051;-3,435973;"United Kingdom"
"189";"IS";"SY";"TOTAL";10;64,963051;-19,020835;"Iceland"
"190";"LI";"SY";"TOTAL";0;47,166;9,555373;"Liechtenstein"
"191";"NO";"SY";"TOTAL";2020;60,472024;8,468946;"Norway"
"192";"CH";"SY";"TOTAL";530;46,818188;8,227512;"Switzerland"
"193";"BE";"SY";"REJECTED";50;50,503887;4,469936;"Belgium"
"194";"BG";"SY";"REJECTED";50;42,733883;25,48583;"Bulgaria"
"195";"CZ";"SY";"REJECTED";0;49,817492;15,472962;"Czech Republic"
"196";"DK";"SY";"REJECTED";55;56,26392;9,501785;"Denmark"
"197";"DE";"SY";"REJECTED";700;51,165691;10,451526;"Germany"
"198";"EE";"SY";"REJECTED";0;58,595272;25,013607;"Estonia"
"199";"IE";"SY";"REJECTED";0;53,41291;-8,24389;"Ireland"
"200";"EL";"SY";"REJECTED";385;39,074208;21,824312;"Greece"
"201";"ES";"SY";"REJECTED";55;40,463667;-3,74922;"Spain"
"202";"FR";"SY";"REJECTED";40;46,227638;2,213749;"France"
"203";"HR";"SY";"REJECTED";0;45,1;15,2;"Croatia"
"204";"IT";"SY";"REJECTED";0;41,87194;12,56738;"Italy"
"205";"CY";"SY";"REJECTED";0;35,126413;33,429859;"Cyprus"
"206";"LV";"SY";"REJECTED";0;56,879635;24,603189;"Latvia"
"207";"LT";"SY";"REJECTED";0;55,169438;23,881275;"Lithuania"
"208";"LU";"SY";"REJECTED";0;49,815273;6,129583;"Luxembourg"
"209";"HU";"SY";"REJECTED";575;47,162494;19,503304;"Hungary"
"210";"MT";"SY";"REJECTED";5;35,937496;14,375416;"Malta"
"211";"NL";"SY";"REJECTED";105;52,132633;5,291266;"Netherlands"
"212";"AT";"SY";"REJECTED";10;47,516231;14,550072;"Austria"
"213";"PL";"SY";"REJECTED";0;51,919438;19,145136;"Poland"
"214";"PT";"SY";"REJECTED";0;39,399872;-8,224454;"Portugal"
"215";"RO";"SY";"REJECTED";5;45,943161;24,96676;"Romania"
"216";"SI";"SY";"REJECTED";0;46,151241;14,995463;"Slovenia"
"217";"SK";"SY";"REJECTED";0;48,669026;19,699024;"Slovakia"
